NU_ANO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_ESCOLA,NU_NOTA_REDACAO,TP_ST_CONCLUSAO
2019,397.7,380.8,532.8,480.5,1,580,1
2019,402.8,448.9,489.6,521.1,2,580,2
2019,445.3,446.5,526.0,519.3,2,900,2
2019,385.6,428.0,429.5,447.2,1,520,1
2019,627.0,637.0,583.9,725.0,1,860,1
2019,470.8,575.8,553.7,617.0,2,520,2
2019,356.4,452.2,517.5,402.5,1,320,1
2019,443.1,526.1,471.8,502.6,2,780,2
2019,399.9,521.0,465.2,580.5,1,500,1
2019,400.1,451.4,510.6,500.5,1,560,1
2019,382.6,480.3,520.9,475.8,1,640,1
2019,547.7,589.8,541.1,585.1,2,780,2
2019,466.2,427.2,518.4,478.3,2,500,2
2019,393.8,438.2,522.7,554.8,1,580,1
2019,576.4,534.7,544.3,617.7,1,580,1
2019,502.3,405.0,464.7,491.0,1,440,1
2019,569.6,588.4,608.9,652.4,1,760,1
2019,447.2,430.7,484.3,401.7,1,480,1
2019,409.8,403.4,387.2,520.8,1,320,1
2019,491.9,499.1,539.7,377.6,1,600,1
2019,522.0,586.7,566.3,431.0,1,700,1
2019,496.1,572.7,543.7,572.6,2,680,2
2019,344.9,533.8,509.2,662.5,1,640,1
2019,412.6,418.6,480.3,459.4,2,540,2
2019,477.5,378.4,368.1,430.0,1,580,1
2019,380.0,500.0,438.4,562.7,1,560,3
2019,511.3,516.3,444.0,607.7,1,500,1
2019,361.6,528.9,508.2,359.0,1,580,1
2019,673.8,668.0,528.1,732.8,1,920,1
2019,388.3,566.0,516.8,486.6,1,620,1
2019,688.2,647.3,661.7,808.9,1,940,1
2019,608.8,623.9,620.4,609.5,3,820,2
2019,535.0,653.2,635.9,655.3,2,860,2
2019,515.9,543.8,539.8,547.9,1,620,3
2019,441.3,471.0,502.8,450.0,1,540,1
2019,450.0,553.4,508.9,586.0,1,580,1
2019,545.6,569.9,574.2,446.7,2,640,2
2019,418.2,490.5,474.6,411.0,1,680,1
2019,469.7,511.9,536.8,634.1,1,640,1
2019,655.4,686.5,643.3,784.2,1,900,1
2019,440.2,453.6,500.5,568.8,1,760,3
2019,516.7,587.7,606.2,762.5,1,580,1
2019,448.4,411.4,472.9,541.9,1,300,3
2019,404.8,431.3,526.3,482.7,1,660,1
2019,440.5,529.4,524.5,411.6,1,600,1
2019,500.0,475.6,432.4,419.2,1,700,1
2019,387.6,349.4,484.3,475.5,1,440,1
2019,489.7,519.3,522.9,408.0,1,540,1
2019,543.7,379.7,453.3,708.5,1,440,1
2019,571.9,486.3,446.1,587.9,1,840,1
2019,535.7,610.1,594.2,611.0,3,920,2
2019,406.7,434.0,425.6,404.9,1,440,1
2019,381.3,495.7,559.7,408.3,2,600,2
2019,630.3,635.5,642.8,767.4,1,940,1
2019,540.6,559.8,549.9,713.7,3,760,2
2019,491.9,547.6,548.6,557.3,1,660,1
2019,494.8,546.8,546.8,418.8,1,640,3
2019,433.3,387.3,484.8,568.1,1,480,3
2019,563.1,563.5,569.3,656.8,1,520,1
2019,517.2,561.2,458.0,516.8,1,540,1
2019,493.1,462.1,538.5,484.7,1,600,1
2019,417.5,430.6,458.3,449.9,1,520,3
2019,540.6,530.6,539.3,546.5,1,940,3
2019,428.0,517.3,560.7,633.1,2,740,2
2019,394.1,412.2,457.8,392.5,1,520,1
2019,517.6,596.0,596.1,624.0,1,520,1
2019,481.7,572.6,602.7,570.8,1,600,1
2019,452.4,425.9,431.5,547.3,1,420,1
2019,430.0,434.2,504.9,374.6,2,500,2
2019,689.6,699.3,673.7,859.1,3,820,2
2019,507.3,418.9,532.4,473.3,1,680,1
2019,597.6,589.0,576.7,630.2,1,700,1
2019,580.2,612.1,531.2,699.2,2,420,2
2019,582.6,623.3,576.6,682.0,1,760,3
2019,566.2,564.1,594.1,575.0,1,780,1
2019,399.9,408.6,370.9,449.5,1,0,3
2019,466.2,508.0,510.6,613.3,1,560,1
2019,372.7,496.4,478.1,395.5,1,500,3
2019,515.3,513.7,512.0,415.6,2,600,2
2019,612.5,613.5,596.9,732.0,1,640,1
2019,421.1,509.3,560.1,542.5,1,500,1
2019,539.7,647.9,586.5,578.0,1,620,1
2019,422.7,429.5,521.6,490.3,1,560,1
2019,431.2,472.6,481.8,531.5,1,300,1
2019,374.5,572.5,483.8,465.8,1,500,1
2019,393.6,321.7,460.9,399.2,2,480,2
2019,415.1,533.0,509.0,409.3,2,600,2
2019,529.2,584.5,584.9,650.0,1,840,1
2019,374.9,423.2,450.1,392.6,1,700,1
2019,477.3,513.2,508.7,415.9,1,640,1
2019,424.5,465.6,531.1,527.2,1,620,1
2019,528.2,494.7,494.9,515.0,2,660,2
2019,550.6,574.3,527.7,422.9,2,540,2
2019,374.1,430.4,475.5,406.8,1,580,1
2019,597.7,640.9,619.1,617.5,3,840,2
2019,456.8,439.0,454.5,453.0,1,280,1
2019,538.2,483.5,538.3,498.5,1,800,1
2019,403.3,420.1,440.2,484.7,1,0,1
2019,541.1,582.2,574.5,544.8,1,460,1
2019,431.8,451.6,502.3,466.3,3,600,2
2019,537.6,538.8,570.2,557.6,1,280,1
2019,571.2,527.5,535.7,483.5,2,600,2
2019,369.8,438.3,504.7,478.5,2,360,2
2019,478.6,469.9,347.0,368.3,1,480,1
2019,366.1,385.8,348.4,447.1,1,500,3
2019,688.2,688.2,637.5,856.5,1,780,1
2019,467.3,451.0,568.9,612.3,3,700,2
2019,375.5,406.7,523.5,527.5,2,340,2
2019,414.8,438.8,545.7,457.8,1,400,1
2019,380.9,469.2,467.3,421.0,1,600,1
2019,392.9,437.9,496.9,452.9,2,520,2
2019,468.8,542.7,548.4,704.8,2,680,2
2019,457.5,469.2,487.8,399.9,2,520,2
2019,437.9,398.8,477.9,565.5,3,600,2
2019,367.1,492.0,505.5,623.3,2,640,2
2019,565.0,394.5,415.3,577.5,2,520,2
2019,405.0,557.0,590.6,383.2,1,840,4
2019,448.8,527.4,546.5,466.6,1,460,1
2019,462.8,394.2,510.6,379.7,1,500,3
2019,496.8,551.7,556.1,483.7,2,580,2
2019,424.3,524.8,559.4,393.9,1,640,1
2019,615.6,590.1,608.5,762.4,1,960,1
2019,435.8,483.0,467.8,398.1,2,620,2
2019,566.3,548.9,566.8,602.2,2,720,2
2019,513.8,527.9,535.0,361.8,1,900,1
2019,531.5,603.6,585.5,681.7,1,960,1
2019,593.1,649.5,604.1,671.5,1,560,1
2019,404.7,446.5,504.0,422.0,1,560,1
2019,464.9,538.6,542.1,553.1,2,600,2
2019,547.7,503.9,535.8,536.9,2,900,2
2019,549.6,535.8,531.0,617.1,1,580,3
2019,414.8,406.5,435.0,454.8,1,300,1
2019,578.4,543.2,612.2,592.8,1,940,1
2019,424.6,355.8,400.1,536.8,1,500,1
2019,477.8,502.3,546.4,644.9,1,0,3
2019,444.7,523.5,535.4,441.4,2,640,2
2019,546.0,561.1,575.0,584.2,1,720,1
2019,400.1,455.7,461.9,406.1,2,500,2
2019,545.5,561.0,554.9,525.2,2,760,2
2019,351.0,432.4,328.4,447.3,1,360,1
2019,532.8,547.8,489.3,441.6,2,580,2
2019,429.9,504.6,555.7,574.3,1,520,1
2019,497.7,559.4,584.4,569.6,1,680,1
2019,616.2,614.4,590.4,715.7,3,760,2
2019,510.0,596.1,553.3,439.2,1,680,1
2019,463.3,501.9,473.8,388.3,1,700,1
2019,524.4,554.6,535.8,437.9,1,540,1
2019,555.8,615.7,614.2,544.3,1,920,1
2019,508.2,573.2,548.5,451.4,2,600,2
2019,618.6,639.2,592.5,732.5,1,640,1
2019,345.3,414.6,561.0,715.9,1,720,3
2019,590.8,585.0,576.9,701.3,1,620,1
2019,463.4,536.8,539.9,373.2,1,460,1
2019,429.9,506.2,551.4,441.3,1,520,1
2019,431.7,426.8,381.6,496.5,2,540,2
2019,444.7,614.3,595.1,663.7,3,900,2
2019,641.9,629.5,536.8,665.8,1,860,1
2019,478.3,384.7,405.3,364.7,1,0,1
2019,477.5,562.6,540.9,603.1,2,460,2
2019,440.1,391.6,485.2,453.1,1,460,1
2019,465.1,573.9,499.9,505.1,1,500,1
2019,560.0,595.7,550.3,600.5,1,740,1
2019,384.6,414.7,492.5,415.5,2,680,2
2019,481.7,566.4,528.5,502.7,1,560,1
2019,606.9,601.6,606.4,753.5,1,780,3
2019,568.6,508.5,580.5,597.3,1,580,1
2019,456.8,455.0,548.3,425.4,1,560,1
2019,363.6,413.7,500.2,430.0,1,560,1
2019,412.5,515.9,443.1,526.9,1,600,1
2019,527.8,571.4,567.1,635.0,2,580,2
2019,524.3,582.2,557.3,661.9,1,940,1
2019,523.0,598.7,512.0,651.5,1,760,1
2019,550.0,559.4,568.2,570.4,2,620,2
2019,477.3,508.6,546.0,367.0,1,540,1
2019,399.2,500.1,486.0,616.1,2,660,2
2019,368.4,489.0,513.1,595.1,2,660,2
2019,429.1,509.4,530.7,476.6,1,600,1
2019,505.1,498.2,530.9,492.0,2,800,2
2019,457.3,596.4,581.9,413.8,1,540,1
2019,431.2,512.1,531.7,476.5,1,580,1
2019,487.3,549.1,521.4,534.0,1,320,1
2019,411.5,452.2,498.2,385.0,1,280,1
2019,405.2,492.9,484.4,542.2,1,620,1
2019,432.0,457.0,542.8,436.7,1,560,1
2019,556.8,605.6,550.7,698.4,2,920,2
2019,532.7,511.9,551.0,641.7,1,460,3
2019,369.2,495.9,461.5,399.6,1,400,1
2019,581.1,657.1,596.0,694.2,1,760,3
2019,521.4,625.0,596.9,632.7,1,580,1
2019,540.5,511.9,515.2,435.9,1,560,1
2019,388.5,446.4,451.3,373.8,2,640,2
2019,407.4,452.7,344.4,517.5,1,480,1
2019,424.8,516.7,541.1,587.9,1,600,1
2019,490.8,515.1,619.0,432.1,1,600,1
2019,636.4,683.5,640.5,709.9,1,760,1
2019,425.2,540.8,578.4,451.7,1,520,1
2019,631.0,636.3,613.4,733.3,1,900,1
2019,470.3,534.0,502.0,590.3,1,620,1
2019,472.8,394.9,490.3,482.0,1,660,1
2019,597.5,576.4,592.1,665.4,2,900,2
2019,551.8,599.8,589.8,617.4,3,680,2
2019,590.4,531.1,568.7,573.1,1,580,3
2019,496.9,544.0,553.7,603.9,1,420,1
2019,377.3,516.4,446.1,400.8,1,580,1
